Hour,TPS,Weekday,Week 50 TPS
0,2004,Sunday,2235.230769
1,1225,Sunday,1366.346154
2,445,Sunday,496.3461538
3,330,Sunday,368.0769231
4,529,Sunday,590.0384615
5,931,Sunday,1038.423077
6,1451,Sunday,1618.423077
7,2022,Sunday,2255.307692
8,2596,Sunday,2895.538462
9,3139,Sunday,3501.192308
10,3632,Sunday,4051.076923
11,4064,Sunday,4532.923077
12,4431,Sunday,4942.269231
13,4735,Sunday,5281.346154
14,4980,Sunday,5554.615385
15,5169,Sunday,5765.423077
16,5303,Sunday,5914.884615
17,5375,Sunday,5995.192308
18,5372,Sunday,5991.846154
19,5269,Sunday,5876.961538
20,5028,Sunday,5608.153846
21,4594,Sunday,5124.076923
22,3893,Sunday,4342.192308
23,2832,Sunday,3158.769231
24,2130,Monday,2375.769231
25,983,Monday,1096.423077
26,433,Monday,482.9615385
27,322,Monday,359.1538462
28,515,Monday,574.4230769
29,908,Monday,1012.769231
30,1415,Monday,1578.269231
31,1971,Monday,2198.423077
32,2531,Monday,2823.038462
33,3061,Monday,3414.192308
34,3541,Monday,3949.576923
35,3962,Monday,4419.153846
36,4320,Monday,4818.461538
37,4617,Monday,5149.730769
38,4856,Monday,5416.307692
39,5040,Monday,5621.538462
40,5170,Monday,5766.538462
41,5241,Monday,5845.730769
42,5238,Monday,5842.384615
43,5138,Monday,5730.846154
44,4902,Monday,5467.615385
45,4479,Monday,4995.807692
46,3796,Monday,4234
47,2761,Monday,3079.576923
48,2076,Tuesday,2315.538462
49,958,Tuesday,1068.538462
50,423,Tuesday,471.8076923
51,314,Tuesday,350.2307692
52,502,Tuesday,559.9230769
53,885,Tuesday,987.1153846
54,1379,Tuesday,1538.115385
55,1922,Tuesday,2143.769231
56,2468,Tuesday,2752.769231
57,2984,Tuesday,3328.307692
58,3453,Tuesday,3851.423077
59,3863,Tuesday,4308.730769
60,4212,Tuesday,4698
61,4501,Tuesday,5020.346154
62,4734,Tuesday,5280.230769
63,4914,Tuesday,5481
64,5041,Tuesday,5622.653846
65,5110,Tuesday,5699.615385
66,5107,Tuesday,5696.269231
67,5009,Tuesday,5586.961538
68,4780,Tuesday,5331.538462
69,4367,Tuesday,4870.884615
70,3701,Tuesday,4128.038462
71,2692,Tuesday,3002.615385
72,2024,Wednesday,2257.538462
73,934,Wednesday,1041.769231
74,412,Wednesday,459.5384615
75,306,Wednesday,341.3076923
76,490,Wednesday,546.5384615
77,863,Wednesday,962.5769231
78,1345,Wednesday,1500.192308
79,1874,Wednesday,2090.230769
80,2406,Wednesday,2683.615385
81,2910,Wednesday,3245.769231
82,3367,Wednesday,3755.5
83,3766,Wednesday,4200.538462
84,4107,Wednesday,4580.884615
85,4389,Wednesday,4895.423077
86,4616,Wednesday,5148.615385
87,4791,Wednesday,5343.807692
88,4915,Wednesday,5482.115385
89,4982,Wednesday,5556.846154
90,4979,Wednesday,5553.5
91,4884,Wednesday,5447.538462
92,4660,Wednesday,5197.692308
93,4258,Wednesday,4749.307692
94,3609,Wednesday,4025.423077
95,2624,Wednesday,2926.769231
96,1974,Tursday,2201.769231
97,911,Tursday,1016.115385
98,402,Tursday,448.3846154
99,298,Tursday,332.3846154
100,478,Tursday,533.1538462
101,841,Tursday,938.0384615
102,1311,Tursday,1462.269231
103,1827,Tursday,2037.807692
104,2346,Tursday,2616.692308
105,2837,Tursday,3164.346154
106,3282,Tursday,3660.692308
107,3672,Tursday,4095.692308
108,4004,Tursday,4466
109,4279,Tursday,4772.730769
110,4500,Tursday,5019.230769
111,4672,Tursday,5211.076923
112,4792,Tursday,5344.923077
113,4858,Tursday,5418.538462
114,4855,Tursday,5415.192308
115,4762,Tursday,5311.461538
116,4544,Tursday,5068.307692
117,4151,Tursday,4629.961538
118,3518,Tursday,3923.923077
119,2559,Tursday,2854.269231
120,1480,Friday,1650.769231
121,683,Friday,761.8076923
122,301,Friday,335.7307692
123,224,Friday,249.8461538
124,358,Friday,399.3076923
125,631,Friday,703.8076923
126,983,Friday,1096.423077
127,1370,Friday,1528.076923
128,1759,Friday,1961.961538
129,2128,Friday,2373.538462
130,2462,Friday,2746.076923
131,2754,Friday,3071.769231
132,3003,Friday,3349.5
133,3209,Friday,3579.269231
134,3375,Friday,3764.423077
135,3504,Friday,3908.307692
136,3594,Friday,4008.692308
137,3643,Friday,4063.346154
138,3641,Friday,4061.115385
139,3571,Friday,3983.038462
140,3408,Friday,3801.230769
141,3114,Friday,3473.307692
142,2639,Friday,2943.5
143,1919,Friday,2140.423077
144,1579,Saturday,1761.192308
145,729,Saturday,813.1153846
146,321,Saturday,358.0384615
147,238,Saturday,265.4615385
148,382,Saturday,426.0769231
149,673,Saturday,750.6538462
150,1049,Saturday,1170.038462
151,1462,Saturday,1630.692308
152,1877,Saturday,2093.576923
153,2270,Saturday,2531.923077
154,2626,Saturday,2929
155,2938,Saturday,3277
156,3203,Saturday,3572.576923
157,3423,Saturday,3817.961538
158,3600,Saturday,4015.384615
159,3737,Saturday,4168.192308
160,3834,Saturday,4276.384615
161,3886,Saturday,4334.384615
162,3884,Saturday,4332.153846
163,3810,Saturday,4249.615385
164,3667,Saturday,4090.115385
165,3443,Saturday,3840.269231
166,3025,Saturday,3374.038462
167,2410,Saturday,2688.076923
